Job Name,label,CompanyName,Job Type,Experience Required,JD,City,Date Posted,IT,Department,Status
 Sr. Backend Developer Job ,Hot Job,"Magnus Mage (Pvt.) Ltd., Pakistan", Job,1 Year Job Exp.,"We are looking for Backend Developers (NodeJS/GOlang) against permanent positions. Required expertise includes development of all server-side logic, definition and maintenance of the central database, while ensuring high performance.Experience:1+ yea",Lahore,15-Mar-23,True,Computer Software Job,1
Online  Customer Sales Representative CSR Job ,Hot Job,"Techative SMC(Private) Limited, Pakistan", Job,1 Year Job Exp.,Techative SMC(Private) Limited is looking for experienced and fresh Customer Sales Representative candidates to apply for a Remote and on-location Position for a US-based Final Expense Program. A good candidate must have excellent communication skill,Islamabad,12-Mar-23,False,Customer Service Job,1
 Client Relationship Executive Job ,Hot Job,"HG Markets Pvt Ltd, Pakistan", Job,< 1 Year,To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,Lahore,12-Mar-23,False,Sales Job,1
 Business Development Executive - BDE Job ,Hot Job,"HG Markets Pvt Ltd, Pakistan", Job,< 1 Year,To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,Lahore,12-Mar-23,False,Sales Job,1
 BDE - Business Development Executive Job ,Hot Job,"HG Markets Pvt Ltd, Pakistan", Job,< 1 Year,To generate quality leads that result in sales.Cold calling to arrange meetings with potential customers to prospect for business.Work with team to achieve sales performance targets.Develop and maintain client portfolioOnline commodity Trading (Train,Lahore,5-Mar-23,False,Sales Job,1
 Assistant HR Manager Job ,,, Job,1 Year Job Exp.,"Looking for a go-getter, problem solving eager beaver, who will assist the HR and Admin functions in seamless running of our operations. From recruitment of exceptional talent to ensuring office facilities are running smoothly, this person will be at",Lahore,15-Mar-23,False,Computer Software Job,0
Online  Associate Software Engineer - Backend (0-1.5 years experience) Job ,,, Job,1 Year Job Exp.,"What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",Islamabad,15-Mar-23,True,Engineering Job,0
 Associate Software Engineer - Frontend (0-1.5 years experience) Job ,,, Job,1 Year Job Exp.,"What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",Islamabad,15-Mar-23,True,Engineering Job,0
Online  Associate Software Engineer - Fullstack (0-1.5 years experience) Job ,,, Job,1 Year Job Exp.,"What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",Islamabad,15-Mar-23,True,Engineering Job,1
 Executive Assistant Job ,,, Job,1 Year Job Exp.,"Remotebase is looking for our C-suite’s right-hand person, to assist them in ensuring the absolute seamless running of one of the fastest growing and coolest Tech start up in town. You get to directly learn a wide range of things from them, how to st",Lahore,15-Mar-23,False,Admin Job,0
 Maketing and PR Specialist Job ,,, Job,1 Year Job Exp.,"Become a part of one of the fastest growing startups ! Remotebase is a team of 40+ individuals, and just raised one of Pakistan’s largest seed rounds. We are looking for an exceptional individual to lead our Marketing and PR efforts. You w",Lahore,15-Mar-23,True,Computer Software Job,1
Online  Principal Software Engineer (8+ years of experience) Job ,,, Job,1 Year Job Exp.,"Is capable of leading an entire team through a road mapLeads the design review processMakes architecture level decisions for the projectIs recognized for high quality, impactful technical contributions. Usually the person who sets up and maintains co",Islamabad,15-Mar-23,True,Engineering Job,0
Online  Senior Software Engineer - Backend (5-8 years experience) Job ,,, Job,1 Year Job Exp.,"Design, develop and ship large projects Go-to guy for all other engineersCreate influence in whichever team they're working out of Be a team influencer and a team leaderParticipate effectively in cross-functional projects, like frontend, backend, sys",Islamabad,15-Mar-23,True,Engineering Job,0
Online  Senior Software Engineer - Frontend (5-8 years experience) Job ,,, Job,1 Year Job Exp.,"Design, develop and ship large projectsGo-to guy for all other engineersCreate influence in whichever team they're working out ofBe a team influencer and a team leaderParticipate effectively in cross-functional projects, like frontend, backend, syste",Islamabad,15-Mar-23,True,Engineering Job,0
Online  Senior Software Engineer - Fullstack (5-8 years experience) Job ,,, Job,1 Year Job Exp.,"Design, develop and ship large projects Go-to guy for all other engineersCreate influence in whichever team they're working out of Can be a team influencer and a team leaderParticipates effectively in cross-functional projects, like frontend, backend",Islamabad,15-Mar-23,True,Engineering Job,1
Online  Software Engineer - Backend (3-4 years experience) Job ,,, Job,1 Year Job Exp.,"Write, test, and document code.Understand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves trained to be placed in Silicon Valley companies.Participate in system d",Islamabad,15-Mar-23,True,Engineering Job,1
 Software Engineer - Frontend (3-4 years experience) Job ,,, Job,1 Year Job Exp.,"Write, test, and document code.Understand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves trained to be placed in Silicon Valley companies.Participate in system d",Islamabad,15-Mar-23,True,Engineering Job,0
Online  Software Engineer Fullstack (3-4 years experience) Job ,,, Job,1 Year Job Exp.,"Write, test, and document code.Understand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves trained to be placed in Silicon Valley companies.Participate in system d",Islamabad,15-Mar-23,True,Engineering Job,0
 UI/UX Designer Job ,,, Job,1 Year Job Exp.,This position is responsible for optimizing existing user interface while designing and building new web and mobile experiences. The successful individual must be comfortable leading and solving UI/UX design challenges for large and small-scale respo,Islamabad,15-Mar-23,True,Computer Software Job,0
 Call Center Agents / Executives - Night Shift Job ,Gallery Job,"Intersoft BPO Solutions, Pakistan", Job,1 Year Job Exp.,"We are a leading BPO/Cann Center company based in Lahore, Pakistan.As part of our expension plans, we are actively hiring Call Center Agents / Executives.About the Organization:Intersoft BPO Solutions is one of the leading BPO and IT Solutions provid",Lahore,15-Mar-23,False,Customer Service Job,0
 Pharmacist With Category Required  Job ,Gallery Job,"Talat Pharmacy, Pakistan", Job,< 1 Year,pharmacist with category required for phy in dha phase 2 islamabad .plz whtsap cv 03102884444,Islamabad,13-Mar-23,False,Pharmacy Job,1
 Node.Js And Angular Developer Job ,Gallery Job,"Abacus Multimedia, Pakistan", Job,3 Years Job Exp.,"Full-stack Node.js and Angular developers
Abacus Multimedia is an expanding IT company developing financial software and entertainment/media services in multiple languages. We work on our own projects and those of international customers. We require",Faisalabad,13-Mar-23,True,IT Job,0
 CFO - AGTL - Pakistan Job ,,, Job,2 Years Job Exp.,"Come join us to live well, work better, and be the best.ROLE PURPOSE &amp; CONTEXT:As part of C-Suite Leadership of Group management team in country, the CFO will be reporting to Al-Futtaim Division CFO and will responsible for end to end management",Karachi,13-Mar-23,False,Finance Job,0
Online  Senior QA Automation Engineer (PK) Job ,,, Job,1 Year Job Exp.,"This is a chance to be part of the engineering team of a startup that is disrupting the real estate industry and the way people work. A fast-growing and highly skilled team that is building a great PropTech business, which is digitizing and redefinin",Islamabad,12-Mar-23,True,Engineering Job,0
 Senior SQA Automation Engineer Job ,Gallery Job,"Eurosoft Tech Private Limited, Pakistan", Job,2 Years Job Exp.,"We are looking for an experienced automate software tester.
- have to manage quality / performance related issues.
- monitoring bugs, track logs, issues, changes etc. and their priority and severity.
- Develop and execute test cases at various stages",Karachi,12-Mar-23,True,IT Job,0
 Mobile Application Developer Job ,Gallery Job,"Eurosoft Tech Private Limited, Pakistan", Job,2 Years Job Exp.,"We are looking for an experienced Mobile App Developer.- Experience in Android &amp; IOS mobile app development
- Experience in various aspects of the mobile lifecycle including application development (application structure, device and operating sys",Karachi,12-Mar-23,True,IT Job,0
 Manager Economic Affairs Tax Advocacy Job ,,, Job,1 Year Job Exp.,"Grade Level: L3Location: IslamabadLast date to apply: Friday, 19th March 2021What is Manager Economic Affairs and Tax Advocacy?Manager Economic Affairs amp; Tax Advocacy is the one who has a strong interest in, and enthusiasm for, politics, policy is",Islamabad,11-Mar-23,True,Telecom Job,0
 Expert Digital Communications Job ,,, Job,1 Year Job Exp.,"Grade Level: L2Location: IslamabadFunction: Corporate amp; Regulatory AffairsLast date to apply: Wednesday, 17th March 2021What is Expert Digital Communications?Expert Digital Communications is responsible for managing and analyzing the effectiveness",Islamabad,10-Mar-23,True,Telecom Job,0
 Expert Facilities FALSE ,,, Job,1 Year Job Exp.,Grade: L2Last Date to Apply: 16th March 2021What is Expert Facilities Management?Expert Facility Management will ensure and manage expectations of internal customers related to facility management domain by ensuring maximum satisfaction whilst making,Lahore,10-Mar-23,False,Admin Job,0
 Assistant Manager - Human Resource - AGTL - Karachi - Pakistan Job ,,, Job,2 Years Job Exp.,"Al-Ghazi Tractors Limited, the subsidiary company of Al-Futtaim group of Dubai, is a story of rollicking success. With consistent corporate achievements, the company is recognized for corporate excellence and &ldquo;Best Corporate Performance&rdquo;.",Karachi,9-Mar-23,False,HR & Recruiting Job,1
 Hiring Jr. and Sr. Full Stack Engineers Job ,,, Job,1 Year Job Exp.,"Hiring Jr and Sr Full Stack Engineers for our client in Kuala Lumpur, MalaysiaKuala LumpurLooking to hire for our Malaysian Client in Kuala Lumpur, and client is open to hire people from within Malaysia and other countries like Vietnam, Sri",Islamabad,8-Mar-23,True,Engineering Job,1
 Senior Content Writer Job ,,, Job,1 Year Job Exp.,"JOB PURPOSESenior Content Writer is responsible for producing immaculately researched pieces of content that rank well on search engines, add value to the readers and establish the content project’s authority with authentic and reliable information -",Karachi,8-Mar-23,False,Marketing Job,0
 Commercial Experience Executive Job ,,, Job,1 Year Job Exp.,Grade Level: L1Location: PeshawarLast date to apply: 12th March 2021What is a Commercial Experience Executive?The Commercial experience executive is part of commercial experience team reporting to the Commercial Experience Manager and deputed at an E,Peshawar,8-Mar-23,False,Admin Job,0
 Specialist Software Development Job ,,, Job,1 Year Job Exp.,"Grade Level: L1Last Date to Apply:14th March 2021What is Specialist Software Development?Specialist Software Development will be involved in the development/maintenance of file parsing, linux server installations, mobile app development as well as da",Islamabad,8-Mar-23,True,Telecom Job,0
 Android Engineer - Pakistan Job ,,, Job,1 Year Job Exp.,"Bayut amp; dubizzle are iconic product and tech brands committed to make life convenient for users across the globe be it in property, motor, Job or other classifieds.We are part of the EMPG Group that owns Zameen.com amp; OLX Pakistan.With our cont",Karachi,7-Mar-23,False,Pharma & Biotechnology Job,1
 Software Engineer - Full Stack - Pakistan Job ,,, Job,1 Year Job Exp.,"Bayut amp; dubizzle are iconic product and tech brands committed to make life convenient for users across the globe be it in property, motor, Job or other classifieds. We are part of the EMPG Group that owns Zameen.com amp; OLX Pakistan. With our co",Karachi,7-Mar-23,False,Pharma & Biotechnology Job,0
 Software Quality Asurance - Pakistan Job ,,, Job,1 Year Job Exp.,"Bayut amp; dubizzle are iconic product and tech brands committed to make life convenient for users across the globe be it in property, motor, Job or other classifieds.We are part of the EMPG Group that owns Zameen.com amp; OLX Pakistan.With our cont",Karachi,7-Mar-23,True,IT Job,1
 iOS Engineer - Pakistan Job ,,, Job,1 Year Job Exp.,"Bayut amp; dubizzle are iconic product and tech brands committed to make life convenient for users across the globe be it in property, motor, Job or other classifieds. We are part of the EMPG Group that owns Zameen.com amp; OLX Pakistan. With our co",Karachi,7-Mar-23,False,Pharma & Biotechnology Job,1
 Content Specialist Job ,,, Job,1 Year Job Exp.,"JOB PURPOSE Content Specialist is responsible for producing immaculately researched pieces of content that rank well on search engines, add value to the readers and establish the content project’s authority with authentic and reliable information - c",Karachi,7-Mar-23,False,Marketing Job,1
 Engineering Manager - Pakistan Job ,,, Job,1 Year Job Exp.,"Bayut amp; dubizzle are iconic product and tech brands committed to make life convenient for users across the globe be it in property, motor, Job or other classifieds. We are part of the EMPG Group that owns Zameen.com amp; OLX Pakistan. With our co",Karachi,7-Mar-23,False,Pharma & Biotechnology Job,0
 Expert Communication Content Job ,,, Job,1 Year Job Exp.,"Grade Level: L1/ L2Function: Digital Financial ServicesLocation: IslamabadLast date to apply: Wednesday, 10th March 2021What is Expert Communication amp; Content?Communication expert is a result-oriented, creative and digitally savvy marketer who lea",Islamabad,5-Mar-23,True,Telecom Job,1
 Franchise Service Executive Job ,,, Job,1 Year Job Exp.,Grade Level: L1Location: GilgitLast date to apply: 9th March 2021What is a Franchise Service Executive?The Franchise Service Executive works closely with the franchise team to improve customer experience and uplift the franchise outlook. Franchise Se,Islamabad,5-Mar-23,False,Admin Job,0
 Manager Franchise Servicing Job ,,, Job,1 Year Job Exp.,"Grade Level: L2Location: KarachiLast date to apply: 9th March, 2021What is Manager Franchise Servicing?Manager Franchise Servicing works with multiple stakeholders to support Franchise Service Executives in improving franchise outlook and overall cus",Karachi,5-Mar-23,False,Admin Job,1
 Sales Planning Executive Job ,,, Job,1 Year Job Exp.,"Grade Level: L1Location: IslamabadLast date to apply: 9th Mar 2021What is Sales Planning Executive? The Sales planning executive is someone who is involved in strategic planning, implementation, monitoring, feedback, and research of new and existing",Islamabad,5-Mar-23,False,Admin Job,1
 Territory Sales Supervisor Job ,,, Job,1 Year Job Exp.,Grade Level: L1Location: SukhurLast date to apply: 11th March 2021What is a Territory Sales Supervisor?TSS team is a sub part of the Regional Operating model lead by the Regional Business Head. This position reports to the Area Sales Manager who lead,Sukkur,5-Mar-23,False,Admin Job,0
 Area Sales Manager Job ,,, Job,1 Year Job Exp.,Grade Level: L2Location: MureidkeLast date to apply: 9th March 2021 What is an Area Sales Manager?ASM works with internal and external stakeholders to achieve regional sales targets and resolve issues that occur on daily basis which results in growth,Muridke,5-Mar-23,False,Admin Job,1
 Graphic Design Associate Job ,,, Job,1 Year Job Exp.,"Global expansion associate 3-5+ YrsOur storyNoon Academy is one of the fastest-growing EdTech startups. In 2013, we started our journey as a simple test preparation website. Seven years later, after thousands of data-driven experiments, Noon Academy",Lahore,5-Mar-23,True,Computer Software Job,1
 Accounting Manager Job ,,, Job,1 Year Job Exp.,"A unique opportunity has arisen for an energetic Accounting Manager to play a lead role in building a new online used car marketplace . VavaCars is setting out to revolutionize the way cars are traded, by creating the world's most trusted",Karachi,5-Mar-23,False,Finance Job,1
Online  Senior Backend (Python) Developer Job ,,, Job,1 Year Job Exp.,"This is a chance to be part of the engineering team of a startup that is disrupting the real estate industry and the way people work. A fast-growing and highly skilled team that is building a great PropTech business, which is digitizing and redefinin",Lahore,4-Mar-23,True,Engineering Job,1
 Specialist Cyber Security Operations Job ,,, Job,1 Year Job Exp.,Grade Level: L1Last Date to Apply: 11th March 2021What is Specialist Cyber Security Operations?Specialist Cyber Security Operations is responsible for handling access management requests for the particular domain assigned to him/her and strives for c,Islamabad,4-Mar-23,False,Pharma & Biotechnology Job,1
 Senior Service Delivery Engineer Job ,,, Job,1 Year Job Exp.,Grade Level: L2Location: IslamabadLast date to apply: 5th March 2021What is Senior Service Delivery Engineer?The role reports directly to the Team Lead Service Delivery and with an extended team of 14-members (including the department head) with 3 su,Islamabad,2-Mar-23,False,Business Opportunity Job,1
 Business Development and Monetization Lead Job ,,, Job,1 Year Job Exp.,"Business Development and Monetization Lead (4 + Yrs)Karachi/Lahore, PakistanOur Story:Noon Academy is one of the fastest-growing EdTech startups. In 2013, we started our journey as a simple test preparation website. Seven years later, after thousands",Karachi,2-Mar-23,False,Management Job,0
" Community Operations Manager, Pakistan Job ",,, Job,1 Year Job Exp.,Ready to change the world? We’re reinventing freight and logistics at Trella. We’re a YC-backed technology company and we're looking for the best talent out there to help us build and scale our product offering. We aspire to create a step-change in t,Karachi,2-Mar-23,False,Admin Job,0
" Finance Manager - Pakistan, Karachi Job ",,, Job,1 Year Job Exp.,Ready to change the world? We’re reinventing freight and logistics at Trella. We’re a YC-backed technology company and we're looking for the best talent out there to help us build and scale our product offering. We aspire to create a step-change in t,Karachi,2-Mar-23,False,Finance Job,0
" General Manager, Pakistan Job ",,, Job,1 Year Job Exp.,Ready to change the world? We’re reinventing freight and logistics at Trella. We’re a YC-backed technology company and we're looking for the best talent out there to help us build and scale our product offering. We aspire to create a step-change in t,Karachi,2-Mar-23,False,Admin Job,0
 Dispatcher user support tech Job ,,, Job,1 Year Job Exp.,"Who We Are:We are a privately owned leading Managed IT Services company. Since 1996 we have specialized in providing a full range of services from Network amp; Security, UNIX/Linux amp; Windows Engineering, System amp; Database Administration, Help D",Lahore,1-Mar-23,False,Support Services Job,1
 Sr. Linux Administrator Job ,,, Job,1 Year Job Exp.,We are seeking an experienced Linux System Administrator who can provide solutions and be able to work independently and a good team player. Responsible for administering Linux Systems amp; servers on AWS on a mixed production environment. Responsibl,Lahore,1-Mar-23,True,IT Job,1
 Systems Engineer Job ,,, Job,1 Year Job Exp.,We are seeking an experienced Linux System Administrator who can provide solutions and be able to work independently and a good team player. Responsible for administering Linux Systems amp; servers on AWS on a mixed production environment. Responsibl,Lahore,1-Mar-23,True,IT Job,0
 Project Management Officer Job ,,, Job,1 Year Job Exp.,"Grade Level: L3Location: IslamabadLast date to apply: 8th March, 2021What is Project Management Officer?The Project Management Officer is a key contributor in devising, coordinating and executing the divisional strategy. This involves delivering key",Islamabad,1-Mar-23,False,Business Opportunity Job,0
 Deputy General Manager - Plant Engineering - AGTL - Pakistan Job ,,, Job,2 Years Job Exp.,"Al-Ghazi Tractors Limited, the subsidiary company of Al-Futtaim group of Dubai, is a story of rollicking success. With consistent corporate achievements, the company is recognized for corporate excellence and &ldquo;Best Corporate Performance&rdquo;.",Dera Ghazi Khan,1-Mar-23,False,Autos Job,1
 Assistant Manager - Procurement - AGTL - Pakistan Job ,,, Job,2 Years Job Exp.,"Al-Ghazi Tractors Limited, the subsidiary company of Al-Futtaim group of Dubai, is a story of rollicking success. With consistent corporate achievements, the company is recognized for corporate excellence and &ldquo;Best Corporate Performance&rdquo;.",Karachi,1-Mar-23,False,Procurement Job,0
 General Manager - Quality Assurance - AGTL - Pakistan Job ,,, Job,2 Years Job Exp.,"Al-Ghazi Tractors Limited, the subsidiary company of Al-Futtaim group of Dubai, is a story of rollicking success. With consistent corporate achievements, the company is recognized for corporate excellence and &ldquo;Best Corporate Performance&rdquo;.",Dera Ghazi Khan,1-Mar-23,False,Autos Job,1
 Territory Sales Supervisor Job ,,, Job,1 Year Job Exp.,Grade Level: L1Location: RawalpindiLast date to apply: 3rd March 2021What is a Territory Sales Supervisor?TSS team is a sub part of the Regional Operating model lead by the Regional Business Head. This position reports to the Area Sales Manager who l,Rawalpindi,26-Feb-23,False,Admin Job,0
 Area Sales Manager Job ,,, Job,1 Year Job Exp.,Grade Level: L2Location: Dera Ismail KhanLast date to apply: 3rd March 2021What is an Area Sales Manager?ASM works with internal and external stakeholders to achieve regional sales targets and resolve issues that occur on daily basis which results in,Dera Ismail Khan,26-Feb-23,False,Admin Job,0
 Card Payments Expert Job ,,, Job,1 Year Job Exp.,Grade Level: L1/L2Function: Digital Financial ServicesLocation: IslamabadLast date to apply: 9th March 2021What is Card Payments Expert?Card Payments Expert reports to the Head of Online Payments and is part of the SME products team. The purpose of t,Islamabad,26-Feb-23,True,Telecom Job,0
 Expert Mass Segment Job ,,, Job,1 Year Job Exp.,"Grade Level: L3Location: IslamabadLast date to apply: 5th March, 2021What is Expert Mass Segment?The ideal candidate for this role will be someone who can take end-to-end ownership of the consumer prepaid Segment. The candidate should have sound anal",Islamabad,26-Feb-23,False,Admin Job,1
 Franchise Service Executive Job ,,, Job,1 Year Job Exp.,Grade Level: L1Location: TalagangLast date to apply: 3rd March 2021What is a Franchise Service Executive?The Franchise Service Executive works closely with the franchise team to improve customer experience and uplift the franchise outlook. Franchise,Talagang,26-Feb-23,False,Admin Job,0
Online  Online Payments Expert Job ,,, Job,1 Year Job Exp.,Grade Level: L1/L2Location: IslamabadFunction: Digital Financial ServicesLast date to apply: 9th March 2021What is Online Payments Expert?Online Payments Expert reports to the Head of Online Payments and is part of the SME Products team. The purpose,Islamabad,26-Feb-23,True,Telecom Job,1
Online  Online Payments Manager Job ,,, Job,1 Year Job Exp.,Grade Level: L3Function: Digital Financial ServicesLocation: IslamabadLast date to apply: 9th March 2021What is Online Payments Manager?Cards Business Manager reports to the Head of Online Payments and is part of the SME products team. The purpose of,Islamabad,26-Feb-23,False,Finance Job,0
 Head of Corporate Communications Sustainability Job ,,, Job,1 Year Job Exp.,"Grade Level: L4Location: IslamabadLast date to apply: 4th March, 2021What is Head of Corporate Communications amp; Sustainability?Head of Corporate Communications amp; Sustainability entails to develop a comprehensive corporate communications amp; su",Islamabad,25-Feb-23,False,Admin Job,1
 Specialist DFS Operations Job ,,, Job,1 Year Job Exp.,Grade Level: L1Function: Digital Financial ServicesLocation: IslamabadLast date to apply: 7th March 2021What is Specialist DFS Operations?Specialist DFS Operations is part of support and monitoring team who is responsible to ensure business continuit,Islamabad,25-Feb-23,True,Telecom Job,0
 Performance Marketer Job ,,, Job,1 Year Job Exp.,"Grade Level: L1/L2 Location: IslamabadLast date to apply: 2nd March 2021What is Performance Marketer?This role helps prepare, manage, and execute digital marketing campaigns for our various segments/products. She/he is responsible for the collection",Islamabad,25-Feb-23,False,Marketing Job,1
 Legal Counsel - Corporate Governance IP Job ,,, Job,1 Year Job Exp.,"Grade Level: L2Last Date to Apply: 3rd March 2021What is Legal Counsel Corporate Governance amp; IP?Legal Counsel Corporate Governance amp; IP provides dedicated legal support to relevant business and support functions. This entails consultation, adv",Islamabad,24-Feb-23,False,Legal Job,0
 Project Management Specialist - Automotive Job ,,, Job,1 Year Job Exp.,"PLEASE SUBMIT CV IN ENGLISH.Seeking a specialist in project management with skills sets which include project scheduling development and updating, evaluation of project timing risks, ability to escalate issues for attention and resolution, coordinati",Karachi,23-Feb-23,False,Nursing Job,0
 Project Quality Engineer - Automotive Sector Job ,,, Job,1 Year Job Exp.,"PLEASE SUBMIT CV IN ENGLISH.Seeking a specialist in Quality Systems for Automotive with skills sets which include coordination of Quality related systems, processes, auditing and risk assessment from pre- to post-Start of Production.Candidates will h",Karachi,23-Feb-23,False,Supply Chain Job,0
" Provincial Manager, Wheat Flour Fortification Job ",,, Job,1 Year Job Exp.,"Employment Type: Project, Title: Provincial Manager, Wheat Flour FortificationLocation: Karachi, SindhDeadline for submission: March 5, 2021About usAt Nutrition International, we make a difference, because nutrition is the difference.Woven i",Karachi,23-Feb-23,False,Nursing Job,1
 Senior AWS Back-End Developer Job ,,, Job,1 Year Job Exp.,"Circadia Health is a medical technology company with an FDA cleared product: The Circadia C100 Contactless Respiratory Monitoring System. Circadia develops proprietary hardware, software, and algorithms for early detection of respiratory failure the",Karachi,23-Feb-23,True,Engineering Job,0
 Senior Full Stack Software Developer Job ,,, Job,1 Year Job Exp.,"Circadia Health is a medical technology company with an FDA cleared product: The Circadia C100 Contactless Respiratory Monitoring System. Circadia develops proprietary hardware, software, and algorithms for early detection of respiratory failure the",Karachi,23-Feb-23,True,Engineering Job,0
 Senior Software Quality Assurance Engineer Job ,,, Job,1 Year Job Exp.,"Circadia Health is a medical technology company with an FDA cleared product: The Circadia C100 Contactless Respiratory Monitoring System. Circadia develops proprietary hardware, software, and algorithms for early detection of respiratory failure the",Karachi,23-Feb-23,False,Medical & Dental Job,0
 HLS Specialist (f/m/d) Job ,,, Job,1 Year Job Exp.,Are you passionate about hardware acceleration? We are currently looking for an HLS Specialist (f/m/d) in Lahore (Pakistan).The transition from behavioural software to highly efficient hardware is one of the greatest challenges facing our industry to,Lahore,23-Feb-23,False,Production Job,1
 Technical Marketing Engineer (f/m/d) Job ,,, Job,1 Year Job Exp.,"We are currently seeking a passionate and experienced Technical Marketing Engineer (f/m/d) in Lahore, Pakistan to become part of our worldwide team. You will provide high-quality technical collateral to our customers within ADAS/automotive, IoT, 5G w",Lahore,23-Feb-23,False,Production Job,0
Online  Java Developer Job ,,, Job,1 Year Job Exp.,"We want to empower you to continuously develop, so as a member of our team you will be supported to explore and grow through experimentation, hackathons, learning and community involvement.Your technical skills will include:Core Java/ ScalaSpring Fra",Islamabad,23-Feb-23,True,IT Job,1
 Business Analyst Job ,,, Job,1 Year Job Exp.,Quickly understands the business issues and data challenges of client's organization and industry.Responsible for conducting requirements gathering sessions.Responsible for creating requirements documentResponsible for creating use cases documentResp,Islamabad,23-Feb-23,True,IT Job,1
