Experience Required,JD,Job Name
1 Year Job Exp.,"Write, test, and document code.Understand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves trained to be placed in Silicon Valley companies.Participate in system d",Online  Software Engineer - Backend (3-4 years experience) Job 
1 Year Job Exp.,"Write, test, and document code.Understand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves trained to be placed in Silicon Valley companies.Participate in system d", Software Engineer - Frontend (3-4 years experience) Job 
1 Year Job Exp.,"Write, test, and document code.Understand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves trained to be placed in Silicon Valley companies.Participate in system d",Online  Software Engineer Fullstack (3-4 years experience) Job 
1 Year Job Exp.,This position is responsible for optimizing existing user interface while designing and building new web and mobile experiences. The successful individual must be comfortable leading and solving UI/UX design challenges for large and small-scale respo, UI/UX Designer Job 
3 Years Job Exp.,"Full-stack Node.js and Angular developers
Abacus Multimedia is an expanding IT company developing financial software and entertainment/media services in multiple languages. We work on our own projects and those of international customers. We require", Node.Js And Angular Developer Job 
1 Year Job Exp.,"This is a chance to be part of the engineering team of a startup that is disrupting the real estate industry and the way people work. A fast-growing and highly skilled team that is building a great PropTech business, which is digitizing and redefinin",Online  Senior QA Automation Engineer (PK) Job 
2 Years Job Exp.,"We are looking for an experienced automate software tester.
- have to manage quality / performance related issues.
- monitoring bugs, track logs, issues, changes etc. and their priority and severity.
- Develop and execute test cases at various stages", Senior SQA Automation Engineer Job 
2 Years Job Exp.,"We are looking for an experienced Mobile App Developer.- Experience in Android &amp; IOS mobile app development
- Experience in various aspects of the mobile lifecycle including application development (application structure, device and operating sys", Mobile Application Developer Job 
1 Year Job Exp.,"Grade Level: L3Location: IslamabadLast date to apply: Friday, 19th March 2021What is Manager Economic Affairs and Tax Advocacy?Manager Economic Affairs amp; Tax Advocacy is the one who has a strong interest in, and enthusiasm for, politics, policy is", Manager Economic Affairs Tax Advocacy Job 
1 Year Job Exp.,"Grade Level: L2Location: IslamabadFunction: Corporate amp; Regulatory AffairsLast date to apply: Wednesday, 17th March 2021What is Expert Digital Communications?Expert Digital Communications is responsible for managing and analyzing the effectiveness", Expert Digital Communications Job 
1 Year Job Exp.,"Hiring Jr and Sr Full Stack Engineers for our client in Kuala Lumpur, MalaysiaKuala LumpurLooking to hire for our Malaysian Client in Kuala Lumpur, and client is open to hire people from within Malaysia and other countries like Vietnam, Sri", Hiring Jr. and Sr. Full Stack Engineers Job 
1 Year Job Exp.,"Grade Level: L1Last Date to Apply:14th March 2021What is Specialist Software Development?Specialist Software Development will be involved in the development/maintenance of file parsing, linux server installations, mobile app development as well as da", Specialist Software Development Job 
1 Year Job Exp.,"Bayut amp; dubizzle are iconic product and tech brands committed to make life convenient for users across the globe be it in property, motor, Job or other classifieds.We are part of the EMPG Group that owns Zameen.com amp; OLX Pakistan.With our cont", Software Quality Asurance - Pakistan Job 
1 Year Job Exp.,"Grade Level: L1/ L2Function: Digital Financial ServicesLocation: IslamabadLast date to apply: Wednesday, 10th March 2021What is Expert Communication amp; Content?Communication expert is a result-oriented, creative and digitally savvy marketer who lea", Expert Communication Content Job 
1 Year Job Exp.,"Global expansion associate 3-5+ YrsOur storyNoon Academy is one of the fastest-growing EdTech startups. In 2013, we started our journey as a simple test preparation website. Seven years later, after thousands of data-driven experiments, Noon Academy", Graphic Design Associate Job 
1 Year Job Exp.,"This is a chance to be part of the engineering team of a startup that is disrupting the real estate industry and the way people work. A fast-growing and highly skilled team that is building a great PropTech business, which is digitizing and redefinin",Online  Senior Backend (Python) Developer Job 
1 Year Job Exp.,We are seeking an experienced Linux System Administrator who can provide solutions and be able to work independently and a good team player. Responsible for administering Linux Systems amp; servers on AWS on a mixed production environment. Responsibl, Sr. Linux Administrator Job 
1 Year Job Exp.,We are seeking an experienced Linux System Administrator who can provide solutions and be able to work independently and a good team player. Responsible for administering Linux Systems amp; servers on AWS on a mixed production environment. Responsibl, Systems Engineer Job 
1 Year Job Exp.,Grade Level: L1/L2Function: Digital Financial ServicesLocation: IslamabadLast date to apply: 9th March 2021What is Card Payments Expert?Card Payments Expert reports to the Head of Online Payments and is part of the SME products team. The purpose of t, Card Payments Expert Job 
1 Year Job Exp.,Grade Level: L1/L2Location: IslamabadFunction: Digital Financial ServicesLast date to apply: 9th March 2021What is Online Payments Expert?Online Payments Expert reports to the Head of Online Payments and is part of the SME Products team. The purpose,Online  Online Payments Expert Job 
1 Year Job Exp.,Grade Level: L1Function: Digital Financial ServicesLocation: IslamabadLast date to apply: 7th March 2021What is Specialist DFS Operations?Specialist DFS Operations is part of support and monitoring team who is responsible to ensure business continuit, Specialist DFS Operations Job 
1 Year Job Exp.,"Circadia Health is a medical technology company with an FDA cleared product: The Circadia C100 Contactless Respiratory Monitoring System. Circadia develops proprietary hardware, software, and algorithms for early detection of respiratory failure the", Senior AWS Back-End Developer Job 
1 Year Job Exp.,"Circadia Health is a medical technology company with an FDA cleared product: The Circadia C100 Contactless Respiratory Monitoring System. Circadia develops proprietary hardware, software, and algorithms for early detection of respiratory failure the", Senior Full Stack Software Developer Job 
1 Year Job Exp.,"We want to empower you to continuously develop, so as a member of our team you will be supported to explore and grow through experimentation, hackathons, learning and community involvement.Your technical skills will include:Core Java/ ScalaSpring Fra",Online  Java Developer Job 
1 Year Job Exp.,Quickly understands the business issues and data challenges of client's organization and industry.Responsible for conducting requirements gathering sessions.Responsible for creating requirements documentResponsible for creating use cases documentResp, Business Analyst Job 
1 Year Job Exp.,"Responsible for performing design and development on one or more Project areas like Functional (Configuration/Scripting), Integration with other Application, Data Migration or Data Conversion etc.Responsible for providing effort estimation of design"," Salesforce Consultant, Software Engineer/Developer Job "
1 Year Job Exp.,"Noon Academy offers a social learning platform on mobile and web, enabling students to learn from the best teachers, and from each other. From our experience with students, we know that the biggest learning problem is not comprehension; rather, it is", Data Analyst Job 
1 Year Job Exp.,Responsibilities:Assess present Financial Planning amp; Analysis function and identify gaps to bridge Create and communicate Financial Planning amp; Analysis strategy and roadmapAccelerate building a capable team of financial analysts to fully achiev, Head of Financial Planning Analysis Job 
1 Year Job Exp.,"Marketplace Manager./Sr Manager 4 to 7+ Yrs (TBD), Pakistan Our storyNoon Academy is one of the fastest-growing EdTech startups. In 2013, we started our journey as a simple test preparation website. Seven years later, after thousands of data-driven e", Marketplace Manager/Senior Manager Job 
1 Year Job Exp.,"As a QA Automation Developer, you will be working closely with developers as they develop code to ensure that code delivered is stable and reliable enough to enter production and be used by our client base. You will conduct automated (and manual test", QA Automation Developer (Pakistan) Job 
1 Year Job Exp.,"Grade Level: L1What is Specialist Software Development?Specialist Software Development will be involved in the development/maintenance of file parsing, linux server installations, mobile app development as well as", Specialist Software Development Job 
1 Year Job Exp.,Grade Level: L2Function: Digital Financial ServicesLocation: PeshawarWhat is Business Development Expert?The Business Development Expert is responsible for ensuring the achievement of defined DFS target, Business Development Expert Job 
1 Year Job Exp.,Grade Level: L2Location: IslamabadWhat is Expert Learning amp; DevelopmentExpert Learning amp; Development at Jazz will cater to the end to end learning amp; development needs of his/her assigned portfolio. Ther, Expert Learning Development Job 
1 Year Job Exp.,Machine Learning Solution Architect/Sr ML EngineerHyderabad | Somajiguda | Telangana | IndiaAvailable Shifts - Americas Time Zone (EST/CST/PST) IST 6pm to 3am | 7pm to 4am | 10pm to 6amnbsp;Why You?Are you an experienced Hyderabad based Machine Learn, ML Solutions Architect / Senior ML Engineer Job 
2 Years Job Exp.,"Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future.
At ABB, we have the clear goal of driving diversity and inclusion across all dimensio", Sales Manager Job 
2 Years Job Exp.,"Your Impactful Goals will include:Responsible for Distribution planning, developing the overall Distribution StrategyTo ensure the channel profitability, ROI &amp; implement the distribution KPIs for the channelDevelop plans to maximize distribution", Channel Planning Specialist Job 
2 Years Job Exp.,"Your Impactful Goals will include:Responsible for execution &amp; implementation of a robust Regional Enablement plan for the Region, which will enable sales &amp; distribution team to improve executional capability &amp; capacity of ChannelResponsib", Channel Enablement Executive Job 
2 Years Job Exp.,"Your Impactful Goals will include :Responsible for Distribution planning and driving the overall Distribution StrategyTo ensure the channel profitability, ROI &amp; implementation of the distribution KPIs for the channelDevelop plans to maximize dist", Distribution Planning Specialist Job 
2 Years Job Exp.,Your Impactful goals will include: Good understanding of telecom data models and telecom systemsSound understanding of Business Intelligence conceptsEffective in communicating with business users/PeersEffectively analyze end user requirements to iden, Qlik Sense Developer / Business Intelligence Specialist Job 
2 Years Job Exp.,"Employment Type: This is a , permanent position. Location: This role is based in Islamabad, Pakistan. Grade: This is a grade 4 position. The Role: The Digital Division operates similar to a startup within Telenor with an ambition of becoming", Product Manager - Content Job 
2 Years Job Exp.,"Position Title: Cyber Security AdvisorReporting to: Director Security, Risk and ComplianceJob Group: 2BLocation: IslamabadDivision: Telenor Global Shared Services PakistanDepartment: DCP-ITUnit: IT SecurityWhy should you join TelenorTelenor gives you", Cyber Security Advisor Job 
2 Years Job Exp.,Employment Type: This is a /permanent role.Location: IslamabadAbout the Job:Responsible for Enterprise Architecture Governance with focus on Customer Facing IT.Candidate should be able to keep up with Architecture Design Trends and draft rec, Digital Ecosystem FALSE 
2 Years Job Exp.,"Position Title: Software EngineerReporting to: Development/QA LeadJob Group: 2ALocation: IslamabadDivision: Telenor Global Shared ServicesUnit: IT Expert ServicesWhy should you join TelenorAt Telenor Pakistan, we give you the opportunity to become a", Software Engineer Job 
2 Years Job Exp.,"Position Title: Executive Software Engineer &ndash; Microsoft .NETReporting to: Assistant Manager Software DevelopmentJob Group: 2ALocation: IslamabadDepartment: GSS - ITUnit: IT Expert ServicesWhy should you join TelenorAt Telenor Pakistan, we give", Software Engineer - Microsoft .NET Job 
2 Years Job Exp.,"What is a B2B Video Editing Expert?The Jazz B2B Video Editing Expert will be expected:Conceptualize, film, and edit a regular churn of videos for Jazz Business&rsquo; Social Media. This will include animations/tutorials/videography, etc. The B2B Vide", Videographer Job 
2 Years Job Exp.,"What is Manager Agent Network Planning?This role serves as a key pillar to plan an execution strategy to achieve JazzCash&rsquo;s Agent Network expansion ambition of 2021 and to manage Agent Network operations, promos, commissions, performance manage", Manager Agent Network Planning Job 
2 Years Job Exp.,What is Specialist RAN Operations?Specialist RAN Operations basically provides 24x7 back office support to field teams for any issue related to site level as well as controller level and also perform end to end configurational changes on RAN network., Specialist RAN Operations Job 
2 Years Job Exp.,What is a B2B Content Writer?The Jazz B2B content writer will be expected toConduct primary and secondary research for Jazz Business&rsquo;s Products and services and their several applications in several industries. Develop an understanding of the t,Online  Content Writer - Remote Job 
2 Years Job Exp.,"What is Specialist Deployment?Specialist Deployment will manage E2E execution, tracking &amp; reporting of rollout projects including new rollouts, technology upgrades, expansions and USF projects. The role reports directly to the project manager who", Specialist Deployment Job 
2 Years Job Exp.,What is Specialist Analytics Value Added Services?Specialist Analytics Products &amp; ServicesThe role reports directly to the Manager Analytics VAS with an extended team of 5 team membersWhat does *role title*?We are looking for a candidate who has, Specialist Analytics Value Added Services Job 
2 Years Job Exp.,What is MBU Lead?Micro Business Unit (MBU) Lead is a telecom professional who has to look after Access Network Operations of Cell Sites of any particular cluster/ business unit. Main tasks includes Customer Complaints handling (Corporate &amp; Commer, MBU Lead Job 
2 Years Job Exp.,What is MBU Technician?Micro Business Unit (MBU) Technician is a telecom professional who has to look after Access Network Operations of Cell Sites of any particular cluster/ business unit. Main tasks includes Customer Complaints handling (Corporate, MBU Technician Job 
2 Years Job Exp.,What is Specialist Transport Network Operations?Specialist Transport Network Operations will be involved in day to day Operation &amp; Maintenance of nationwide TXN network and nodes. He/She will be handling Customer complaints (corporate &amp; comme, Specialist Transport Network Operations (Transmission) Job 
2 Years Job Exp.,What is *Specialist Social Media Communication*This role is responsible for handling the communication on social media channels in 24/7 operations. The role is responsible to answer all the queries and resolve the complaints of the customers within g, Specialist Social Media Communication Job 
2 Years Job Exp.,"Why should you join TelenorTelenor gives you the opportunity to become a skilled professional in your chosen field of interest. Rated as the top employer of the country, Telenor enables you to realize your dreams in an environment of diversity and op", Service Integrator IT Specialist (Contractual) Job 
2 Years Job Exp.,Your Impactful Goals will include:The position requires you to work under supervision of Assistant Manager for implementation of geographic segmentation and development of day to day analytical/reporting assignmentsExecution of tactics to improve Key, Data Segment Executive / Specialist Job 
2 Years Job Exp.,Siemens Pakistan Enterprise Business is one of the leading Information Technology Service and Solutions Providers of the nation that aims to make a better today for a bright future. We focus on offering quality and innovative turnkey IT &ndash; Infra, Senior SAP Technical Consultant - 12 Months Contract - An Excellent Opportunity In Karachi Job 
2 Years Job Exp.,"Siemens Digital Industries is a leading innovator in automation and digitalization. Our mission is to support customers in leveraging growth, profit opportunities and ecological footprint in the discrete and process industries. Our Digital Enterprise", Senior SAP FICO Consultant - 12 Months Contract - An Excellent Opportunity In Islamabad Job 
2 Years Job Exp.,"iemens Digital Industries is a leading innovator in automation and digitalization. Our mission is to support customers in leveraging growth, profit opportunities and ecological footprint in the discrete and process industries. Our Digital Enterprise", Senior SAP Functional Consultant - 12 Months Contract - An Excellent Opportunity In Karachi Job 
2 Years Job Exp.,The Mission:The Country EHS Officer supports the Country CEO in fulfilling her/his EHS responsibility. Ensures that all applicable legal and Siemens internal requirements in EHS are implemented and a certifiable EHS Management System is maintained an, Country EHS Officer - Siemens Pakistan Job 
2 Years Job Exp.,What is a Trainee Data Scientist?Jazz wants to open its doors to fresh graduates who are interested in learning practical Data Science and Artificial Intelligence to help the nation to stay abreast with a field that is already transforming the world., Trainee Data Scientist Job 
2 Years Job Exp.,What is Specialist Agent Reporting &amp; Analysis?This role is responsible to support the newly created vertical of Retail expansion in DFS Channel Planning &amp; Development stream. The new vertical is being established to support DFS agent network, Specialist Agent Reporting & Analysis Job 
2 Years Job Exp.,Employment Type: This is a /Permanent position. Location: This role is based in Islamabad Pakistan. Grade: This is a grade 2 position. Your Impactful goals will include Responsible for Distribution planning and driving the overall Distributi, Distribution Planning And Analytics Specialist Job 
2 Years Job Exp.,The Role:This incumbent will work in Network Demand Management unit (NDM) of Network Planning and Rollout department. This Position is based in Islamabad and reports to NDM Manager.Your Impactful Goals will include:This role will be involved in Procu, Network Demand Management Executive Job 
2 Years Job Exp.,"The Role:The successful candidate will function as a &lsquo;hands-on&rsquo; technical resource for implementing cloud infrastructure and be responsible for defining all technical aspects of the solution to include the approach, architecture, analysis", Data Center IP Network Specialist Job 
2 Years Job Exp.,What is Manager DFS Architecture &amp; Planning?The role is responsible for delivering challenging technology landscapes. The individual will have in depth knowledge of Digital Financial Services products and platforms. The individual should have pro, Manager DFS Architecture & Planning Job 
2 Years Job Exp.,Deep technical knowledge of Android mobile application development and IOS with GUIProgramming experience in Java and C#Job Responsibilities:Developing Mobile Gaming/Application Transport AppJob Requirements:Knowledge of Android UI frameworksStrong f, C# Developer Job 
2 Years Job Exp.,Deep technical knowledge of Android mobile application development and IOS with GUIProgramming experience in Java and C#Job Responsibilities:Developing Mobile Gaming/Application Transport AppJob Requirements:Knowledge of Android UI frameworksStrong f, Android Mobile Application Developer Job 
2 Years Job Exp.,What is Chief of Growth and Strategy Officer?The Chief of Growth and Strategy officer leads a team to have an immediate impact on the immediate revenues by directly managing the customer lifecycle and growth but also closely work with the CEO to advi, Chief Of Growth And Strategy Officer Job 
2 Years Job Exp.,"Position Title: Software EngineerReporting to: Assistant Manager Software DevelopmentJob Group: 1A/2A (Officer/Executive)Location: IslamabadWhy should you join Telenor Global Shared Services PakistanAt Telenor Global Shared Services Pakistan, we give", Software Engineer Job 
2 Years Job Exp.,The Role:The position of Middleware &amp; Provisioning Expert in Operations provides an exciting &amp; challenging opportunity in the BSS domain. The role requires people management skills with deep technological insights to prepare short / long term, Middleware & Provisioning Expert Job 
2 Years Job Exp.,"Grade: This is a grade 3 position. The Role: As an Assistant Manager, Customer Analytics and Value Management, you will drive initiatives that shape the direction of Telenor in achieving its customer &amp; revenue ambitions through identifying custom", Assistant Manager - Customer Analytics And Value FALSE 
2 Years Job Exp.,Your Impactful Goals will Include:Ensure Smooth Operations &amp; Maintenance of Telenor Pakistan Core Network and its underlying platformsWork towards enhancing and retaining excellent customer experienceTake initiatives proactively to achieve the KP, Core & Telco Cloud Operations Expert Job 
2 Years Job Exp.,Division: Telenor Global Shared Services PakistanPosition Title: Executive Software Engineer &ndash; Microsoft .NETReporting to: Assistant Manager Software DevelopmentJob Group: 2ALocation: IslamabadDepartment: GSS - ITUnit: IT Expert ServicesWhy sho, Software Engineer - Microsoft .NET Job 
3 Years Job Exp.,"Regional POC for GSM/FS planning Regional business KPIs management, actionability on these KPIs, performance management and regional project execution Regional target allocation to franchises Efficient regional campaign management, Regional PR handli", Planning And Operations Specialist / Executive Job 
3 Years Job Exp.,"Responsible for execution &amp; implementation of a robust Regional Enablement plan for the Region, which will enable sales &amp; distribution team to improve executional capability &amp; capacity of Channel Responsible for execution of regional Chan", Channel Enablement Specialist Job 
3 Years Job Exp.,About the Job:Responsible for Enterprise Architecture Governance with focus on Customer Facing IT.Candidate should be able to keep up with Architecture Design Trends and draft recommendations for Local as well as Global Architecture ForumArchitecture, Digital Ecosystem FALSE 
2 Years Job Exp.,About the Role:Transport Network Planning is one of the important and strategic function of the Technology Division. This team plays important role of planning Optical Fiber Network which is the key enabler to support data traffic growthYour Impactfu, Core Transport Network Planning Specialist Job 
2 Years Job Exp.,What is a Franchise Service Executive?The Franchise Service Executive works closely with the franchise team to improve customer experience and uplift the franchise outlook.Franchise Service Executive reports to an Area Manager who is responsible for, Franchise Service Executive Job 
3 Years Job Exp.,"Your Impactful Goals will Include:The position requires you to work under supervision of Assistant Manager for implementation CLM strategy and execution for the region, which will enable the regional sales &amp; distribution team to improve business", CLM & Contextual Marketing Specialist Job 
3 Years Job Exp.,"The Role:
The successful candidate will have the opportunity to work on digital transformation initiatives within Telenor Pakistan&#39;s Business Division aimed at:Developing/sourcing, rolling out and managing end to end life cycle of digital platfor", Digital Transformation Specialist Job 
3 Years Job Exp.,"Employment Type: This is a , permanent position. Location: This role is based in Karachi, Pakistan. Grade: This is a grade 4 position. The Role: Circle Technology is an essential domain of the Technology division making significant contribut",  Circle Technology Head - South Job 
5 Years Job Exp.,"Your Impactful Goals will Include:You&rsquo;ll join an inspiring and curious team of technologists dedicated to improving the design, test and implement new technology solutions related to infrastructure/cloud covering all aspects including demand, c", Cloud Infrastructure Specialist Job 
2 Years Job Exp.,Role Specifics&middot; Drive customer centricity to ensure best service&middot; Improvement in NPS&middot; Regular meetup with planning team on achieving targets&middot; Track new product performance results and implement actions to address any gaps, Manager Franchise Services Planning Job 
2 Years Job Exp.,A bit about you:We are looking for someone who is proficient in Ms Office especially Excel and has a strong reporting and analysis background. The ideal candidate should have good communication skills and should be able to make crisp presentations an, DFS Executive Job 
4 Years Job Exp.,"Your Impactful Goals will include:Design, Execute and Evaluate business analysis to present clear crisp actionable recommendations (both with GSM , Digital) for growing Digital (portfolio/product) base, revenues and experiences.Partner with Product a", AM Digital Analytics Job 
3 Years Job Exp.,Employment Type: This is a /Permanent position. Location: This role is based in Islamabad Pakistan. Grade: This is a grade 2 position. Essential Responsibilities/ How will your typical day look likeProviding assistance to Head of Sustainabil, Sustainability Specialist Job 
2 Years Job Exp.,"As one of the top employers in the country, Jazz epitomizes the philosophy that each Jazz employee is passionately living a better every day inspired and enabled by visionary leadership, a unique professional culture, a flourishing lifestyle and cont", Network Supervision Specialist Job 
2 Years Job Exp.,"As one of the leading employers in the country, Jazz epitomizes the philosophy that each Jazz employee is[AK1] passionately living a better every day inspired and enabled by visionary leadership, a unique professional culture, a flourishing lifestyle", Specialist CS Core Operations Job 
5 Years Job Exp.,"Employment Type: This is a  position.Location: This role is based in Islamabad, Pakistan.Grade: This is a grade 2 position.Last Date to Apply: 16th December, 2020Your Impactful goals will include: Data Core VNF Planning specialist tasks are", Data Core VNF Planning Specialist Job 
8 Years Job Exp.,About the Job:The successful candidate will function as a Technical Expert for Planning &amp; Implementing Security Solutions &amp; Platforms related to Cloud Domains Infrastructure (Mobile Core + IT) and related Network (SDN Environment); be respons, Cloud Infra Security Expert Job 
2 Years Job Exp.,Last Date to Apply: Interested applicants to apply by no later than 10th December 2020.Employment Type: This is a contractual role. Duration: This is an 18-months contract. The contract may be extendable depending upon the requirement of the business, Technical Project Manager (Migrations & Operations) Job 
2 Years Job Exp.,"Last Date to Apply: Interested applicants to apply by no later than 10th December 2020.
Employment Type: This is a contractual role.
Duration: This is an 18-months contract. It may be extendable depending on the requirement of the business.
Location:", Project Director (Billing Swap) Job 
2 Years Job Exp.,Last Date to Apply: Interested applicants to apply by no later than 11th December&#39; 2020 Employment Type: This is a /Permanent position. Location: This role is based in Islamabad Pakistan. Grade: This is a grade 2 position. The Role: Geo, Segment Specialist/Executive - Network Planning & Operations Job 
2 Years Job Exp.,"Last Date to Apply: Interested applicants to apply by no later than 11th December&#39; 2020 Employment Type: This is a , Contractual position. Duration: The duration of the contract is 12 months. The contract may be extendable depending on requiremen", Network Operations Executive Job 
2 Years Job Exp.,"Job brief*****Please read the full JD before you apply.*****If you live and breathe digital marketing, we want to talk to you. We are looking for a Digital Marketing Manager to develop, implement, track and optimize our digital marketing campaigns ac", Digital Marketing Manager Job 
1 Year Job Exp.,"&middot; Manage all online activity in relation to traffic acquisition, sales, conversion, campaign optimization and A/B testing.&middot; Responsible for collaborating with cross-functional partners to manage all aspects of the e-commerce business in", Ecommerce Marketing Manager Job 
2 Years Job Exp.,"Job Profile:Writing clean, modern, testable, well-documented code each iteration.",Online  Backend Engineer Job 
3 Years Job Exp.,Xlogic Solutions is Looking to expand our team with the addition of an experienced web developer specialized in Laravel MVC Framework on a  basis. The individual must have a passion for helping take concepts and developing them out to bring, PHP Laravel Web Developer Job 
Job for Fresh Graduates,Xlogic Solutions is looking to hire some paid interns having spark to learn and prepare themselves as skilled developers. This is the paid internship leading to a job., Web Development Interns Job 
3 Years Job Exp.,Xlogic Solutions is Looking to expand our team with the addition of an experienced Web developer specialized in Wordpress and Shopify development on a  basis. The individual must have a passion for helping take concepts and developing them o, Wordpress / Shopify Developer Job 
< 1 Year,&bull; Develop user facing features&bull; Translate UI/UX wireframes into actual code&bull; Optimize software for maximum speed and scalability&bull; Ensuring user experience determines design choices&bull; Building and maintaining reusable and relia, Front End Developer Job 
< 1 Year,"We are providing multi-dimensional Tech Solutions to National and International clients and companies. We are hiring Apps developer for our Lahore Office. If you have experience in Android/Flutter/iOS apps development, we would like to invite you to", Mobile Apps Developers (Android / Flutter / React Native / Ios) Job 
< 1 Year,SEO Factors is immediately looking for a person with a very strong command of On-Page and Off-Page Optimization and very well aware of advanced SEO tools.He/she should be able to do a strong competitor analysis and can achieve a good ranking of our c, Junior SEO Specialist Job 
< 1 Year,"The SEO Factors, a start-up company is looking for a Content Writer to join our SEO team and enrich our websites with new Search Engine friendly content. Your duty will be to write content or a blog using best SEO practices that convert clicks into s", SEO Content Writer Job 
< 1 Year,SEO Factors need a full-stack WordPress developer for US Based Projects. The ideal candidate has a thorough understanding of WordPress development standards. Strong front-end skills and experience for custom themes. Grow your skills in a friendly wor, Wordpress / Front-End Developer Job 
2 Years Job Exp.,"Microsoft Gold Partner is looking for a dedicated and professional Microsoft Dynamics CRM developer in our ongoing project. Candidate must have experience at least 2 to 3 years in ASP.NET MVC, C++, jQuery, Bootstrap, and MSSQL.Experience in Microsoft", CRM Developer Job 
2 Years Job Exp.,"Looking for a talented, self-motivated and solution provider Senior PHP developer, who have excellent analytical and communication skills with a proven track record in PHP and Web 2.0 development.The candidate should have deep knowledge of PHP framew", PHP Expert Job 
6 Years Job Exp.,"Looking for Graphic designer and Video content creator, who xan work remotely and has a hands on experience in the relavant field, highly skilled,talented and experience resource is required.",Online  Graphic Designers And Video Programmer Job 
1 Year Job Exp.,"We are looking for a Senior PHP/C++/.NET Programmer having strong hands on experience on any of the programming language, must have experience with Ubunto and virtual box and using CURL language.Your tasks?Crawling of more than 100 e-commerce webshop", PHP Programmer With Experience Of Ubuntu And CURL Job 
2 Years Job Exp.,"Game Developer Duties and ResponsibilitiesGame developers work in a variety of organizations. Specific duties and responsibilities may vary, but there are several core tasks associated with the job, including:Plan Game ProjectsAfter receiving the gam", Games Developer Job 
1 Year Job Exp.,"Brainstorming game concepts, design elements, and specifications with the game design team.Collaborating with programmers to set work schedules and deadlines.Selecting suitable game frameworks and translating concepts into clean and efficient code.De", Game Programer Job 
< 1 Year,Hiring a person for maintain social accounts and Website. Also have basic knowledge of Administration..., Assistant IT Manager  Job 
Job for Fresh Graduates,Dear all Hi-tech communications welcome you to the new world of telecommunication technology.We are offering you a well organized job with handsome salary pakages.Our organization is working with UK based projects and products (Energy/telecom campaig, Telesales Representative Officer Job 
< 1 Year,"Smooth Task ManagementAllocation of resources, required to perform a task.Strong and continuos coordination with clients leading to client satisfaction and delight.Multiple task managementInternational exposure through dealing with foreign clients", Client Services Coordinator Job 
